ID_x,DELIVERY_DATE,DELIVERY_TIME,DELIVERY_MODE,DELIVERY_STATUS,INVOICE_AMOUNT,TAXES,CATERING_COST,SHOW_PRICE,DISCOUNT,GUEST_COUNT,PER_PERSON_RATE,LIVE_STALL_CHARGE,SETUP_CHARGE,EVENT_FACILITY_FEE,SERVER_CHARGE,GRATUITY,CATERING_STATUS,CATERING_LOCATION,ID_y,CATERING_ID,CATERING_DET_ID,ITEM_DESC,SPICE_LEVEL,QUANTITY,PRICE_x,DAIRY,GLUTEN,NUTS,VEGAN,COMMENTS,LNL_LOCATION,CREATED_DTTM,CREATED_BY_ID,UPDATED_DTTM,UPDATED_BY_ID,PRODUCT_ID,CATEGORY_NAME,CATEGORY_ID,PRODUCT_NAME,UNIT,PRICE_y,IS_DAIRY_FREE,IS_GLUTEN_FREE,IS_NUT_FREE,IS_VEGAN,EXCLUDE_ITEM
351,4/24/2021,18:30:00,30,\N,1525.0,0.0,1525.0,9,0.0,1,0.0,0.0,0.0,\N,0,0,CONFIRMED,durham,7292.0,351.0,0.0,Dal Tadka,,1 tr,70.0,1.0,-1.0,-1.0,-1.0,,\N,4/28/2021 11:07,admin,\N,\N,45.0,ENTREE - VEG,1.0,Dal Tadka,18.0,130.0,0,1,1,0,0
351,4/24/2021,18:30:00,30,\N,1525.0,0.0,1525.0,9,0.0,1,0.0,0.0,0.0,\N,0,0,CONFIRMED,durham,7293.0,351.0,0.0,Gobi Pepper Fry,Meidum,11/2 tr,90.0,1.0,-1.0,-1.0,-1.0,,\N,4/28/2021 11:07,admin,\N,\N,13.0,APPETIZER - VEG,1.0,Gobi Pepper Fry,18.0,140.0,0,0,1,0,-1
351,4/24/2021,18:30:00,30,\N,1525.0,0.0,1525.0,9,0.0,1,0.0,0.0,0.0,\N,0,0,CONFIRMED,durham,7294.0,351.0,0.0,Green Mango Drink,,100 cups,150.0,-1.0,-1.0,-1.0,1.0,,\N,4/28/2021 11:07,admin,\N,\N,,,,,,,,,,,
351,4/24/2021,18:30:00,30,\N,1525.0,0.0,1525.0,9,0.0,1,0.0,0.0,0.0,\N,0,0,CONFIRMED,durham,7295.0,351.0,0.0,Grilled Paneer Tikka,Mild,"1,1/2 tr",150.0,-1.0,-1.0,-1.0,-1.0,,\N,4/28/2021 11:07,admin,\N,\N,,,,,,,,,,,
351,4/24/2021,18:30:00,30,\N,1525.0,0.0,1525.0,9,0.0,1,0.0,0.0,0.0,\N,0,0,CONFIRMED,durham,7296.0,351.0,0.0,Jeera Pualo,,2 1/2 tr,160.0,1.0,-1.0,-1.0,-1.0,,\N,4/28/2021 11:07,admin,\N,\N,,,,,,,,,,,
351,4/24/2021,18:30:00,30,\N,1525.0,0.0,1525.0,9,0.0,1,0.0,0.0,0.0,\N,0,0,CONFIRMED,durham,7297.0,351.0,0.0,Jelabi,,100 ps,150.0,1.0,-1.0,-1.0,-1.0,,\N,4/28/2021 11:07,admin,\N,\N,,,,,,,,,,,
351,4/24/2021,18:30:00,30,\N,1525.0,0.0,1525.0,9,0.0,1,0.0,0.0,0.0,\N,0,0,CONFIRMED,durham,7298.0,351.0,0.0,Kadai Paneer,Mild,1 tr,100.0,1.0,-1.0,-1.0,-1.0,,\N,4/28/2021 11:07,admin,\N,\N,229.0,ENTREE - VEG,1.0,Kadai Paneer,18.0,140.0,0,1,1,0,0
351,4/24/2021,18:30:00,30,\N,1525.0,0.0,1525.0,9,0.0,1,0.0,0.0,0.0,\N,0,0,CONFIRMED,durham,7299.0,351.0,0.0,Malai Koftha,Mild,2 tr,200.0,1.0,-1.0,1.0,-1.0,,\N,4/28/2021 11:07,admin,\N,\N,,,,,,,,,,,
351,4/24/2021,18:30:00,30,\N,1525.0,0.0,1525.0,9,0.0,1,0.0,0.0,0.0,\N,0,0,CONFIRMED,durham,7300.0,351.0,0.0,Paan,Meidum,100,175.0,-1.0,-1.0,-1.0,-1.0,,\N,4/28/2021 11:07,admin,\N,\N,,,,,,,,,,,
351,4/24/2021,18:30:00,30,\N,1525.0,0.0,1525.0,9,0.0,1,0.0,0.0,0.0,\N,0,0,CONFIRMED,durham,7301.0,351.0,0.0,Potato And Onion Kulcah,,40,100.0,-1.0,1.0,-1.0,-1.0,Assorted Naan,\N,4/28/2021 11:07,admin,\N,\N,,,,,,,,,,,
