ID,DELIVERY_DATE,DELIVERY_TIME,DELIVERY_MODE,DELIVERY_STATUS,INVOICE_AMOUNT,TAXES,CATERING_COST,SHOW_PRICE,DISCOUNT,GUEST_COUNT,PER_PERSON_RATE,LIVE_STALL_CHARGE,SETUP_CHARGE,EVENT_FACILITY_FEE,SERVER_CHARGE,GRATUITY,CATERING_STATUS,CATERING_LOCATION
351,4/24/2021,18:30:00,30,\N,1525,0,1525,9,0,1,0,0,0,\N,0,0,CONFIRMED,durham
492,5/12/2022,16:00:00,30,\N,8180,0,8180,9,0,1,0,0,0,\N,0,0,CANCELLED,raleigh
493,5/14/2022,11:30:00,32,\N,6460,0,6461,9,0,300,0,0,1,\N,0,0,CONFIRMED,durham
494,5/14/2022,16:00:00,30,\N,13405,0,13405,9,0,1,0,0,0,\N,0,0,CANCELLED,raleigh
522,11/5/2021,16:30:00,30,\N,809.49,0,809.49,9,0,1,0,0,0,\N,0,0,CONFIRMED,raleigh
541,6/10/2022,17:00:00,32,\N,4890,0,5090,9,0,230,0,0,200,\N,\N,\N,CONFIRMED,durham
550,10/28/2021,19:10:00,30,\N,238,0,238,9,0,1,0,0,0,\N,0,0,CONFIRMED,raleigh
552,11/5/2021,15:30:00,30,\N,2600,195,2795,9,0,1,0,0,0,\N,0,0,CONFIRMED,durham
593,2/25/2022,15:00:00,30,\N,2930,0,2930,9,0,1,0,0,0,\N,0,0,CONFIRMED,raleigh
606,6/11/2022,11:00:00,32,\N,8700,0,9200,9,0,300,0,300,200,\N,\N,\N,CONFIRMED,raleigh
615,5/14/2022,7:30:00,31,\N,2510,0,2511,9,0,200,0,0,1,\N,0,0,CONFIRMED,durham
646,2/12/2022,17:30:00,30,\N,2980,0,2980,9,0,1,0,0,0,\N,0,0,CONFIRMED,chapel
652,5/14/2022,15:30:00,32,\N,4005,0,4006,9,0,225,17.8,0,1,\N,\N,\N,CONFIRMED,raleigh
676,8/6/2022,17:00:00,30,\N,6305,0,6305,9,0,300,0,0,0,\N,\N,\N,CANCELLED,raleigh
681,2/20/2022,17:30:00,30,\N,680,0,680,9,0,45,0,0,0,\N,\N,\N,CONFIRMED,chapel
708,6/18/2022,18:30:00,32,\N,5175,0,5045,9,230,1,0,0,100,\N,\N,\N,CONFIRMED,durham
714,5/14/2022,17:00:00,31,\N,990,0,1040,9,0,100,0,0,50,\N,\N,\N,CONFIRMED,chapel
718,3/19/2022,13:00:00,30,\N,400,0,400,9,0,1,0,0,0,\N,0,0,CANCELLED,durham
728,4/22/2022,18:00:00,30,\N,1830,137.25,1967.25,9,0,1,0,0,0,\N,\N,\N,CONFIRMED,durham
729,6/26/2022,17:30:00,31,\N,960,0,1010,9,0,30,32,0,50,\N,\N,\N,CONFIRMED,raleigh
730,8/20/2022,17:00:00,32,\N,2250,0,2251,9,0,10,0,0,1,\N,\N,\N,CANCELLED,chapel
736,5/14/2022,10:15:00,30,\N,1000,0,1000,9,0,1,0,0,0,\N,0,0,CANCELLED,raleigh
737,4/17/2022,8:30:00,31,\N,320,0,390,9,0,2,0,70,0,\N,\N,\N,CONFIRMED,chapel
738,4/17/2022,12:30:00,31,\N,745,0,745,9,0,2,0,0,0,\N,\N,\N,CONFIRMED,raleigh
739,4/24/2022,17:00:00,30,\N,445,0,445,9,0,1,0,0,0,\N,\N,\N,CANCELLED,raleigh
740,6/18/2022,17:30:00,31,\N,0,0,0,9,0,1,0,0,0,\N,\N,\N,CANCELLED,raleigh
741,7/15/2022,18:00:00,32,\N,0,0,0,9,0,1,0,0,0,\N,\N,\N,CANCELLED,raleigh
742,7/16/2022,17:00:00,32,\N,0,0,0,9,0,1,0,0,0,\N,\N,\N,CANCELLED,raleigh
743,4/10/2022,17:00:00,30,\N,530,0,250,9,280,60,0,0,0,\N,\N,\N,CONFIRMED,raleigh
746,4/7/2022,11:00:00,31,\N,767,57.52,824.52,9,0,25,0,0,0,\N,\N,\N,CONFIRMED,raleigh
751,6/19/2022,11:30:00,31,\N,0,0,50,9,0,1,0,0,50,\N,\N,\N,CANCELLED,raleigh
753,4/17/2022,11:00:00,31,\N,930,0,930,9,0,1,0,0,0,\N,\N,\N,CONFIRMED,raleigh
756,4/24/2022,11:45:00,31,\N,1250,0,1250,9,0,25,0,0,0,\N,\N,\N,CONFIRMED,raleigh
757,6/26/2022,17:00:00,30,\N,1075,0,1075,9,0,10,0,0,0,\N,\N,\N,CANCELLED,raleigh
761,8/6/2022,11:30:00,32,\N,7999,0,8000,9,0,190,42.1,0,1,\N,\N,\N,CONFIRMED,undecided
763,4/16/2022,18:00:00,30,\N,60,0,60,9,0,10,0,0,0,\N,\N,\N,CONFIRMED,raleigh
764,5/7/2022,17:00:00,32,\N,5865,0,6000,9,365,500,0,500,0,\N,\N,\N,CONFIRMED,raleigh
765,4/17/2022,18:00:00,30,\N,75,0,75,9,0,2,0,0,0,\N,\N,\N,CONFIRMED,chapel
766,4/23/2022,16:00:00,30,\N,30,0,30,9,0,1,0,0,0,\N,\N,\N,CONFIRMED,chapel
767,4/21/2022,11:15:00,30,\N,75,0,75,9,0,2,0,0,0,\N,\N,\N,CONFIRMED,chapel
768,4/23/2022,12:45:00,30,\N,1680,0,1400,9,280,1,0,0,0,\N,\N,\N,CONFIRMED,chapel
