ID,CATERING_ID,CATERING_DET_ID,ITEM_DESC,SPICE_LEVEL,QUANTITY,PRICE,DAIRY,GLUTEN,NUTS,VEGAN,COMMENTS,LNL_LOCATION,CREATED_DTTM,CREATED_BY_ID,UPDATED_DTTM,UPDATED_BY_ID
7292,351,0,Dal Tadka,None,1 tr,70,1,-1,-1,-1,,\N,4/28/2021 11:07,admin,\N,\N
7293,351,0,Gobi Pepper Fry,Meidum,11/2 tr,90,1,-1,-1,-1,,\N,4/28/2021 11:07,admin,\N,\N
7294,351,0,Green Mango Drink,None,100 cups,150,-1,-1,-1,1,,\N,4/28/2021 11:07,admin,\N,\N
7295,351,0,Grilled Paneer Tikka,Mild,"1,1/2 tr",150,-1,-1,-1,-1,,\N,4/28/2021 11:07,admin,\N,\N
7296,351,0,Jeera Pualo,None,2 1/2 tr,160,1,-1,-1,-1,,\N,4/28/2021 11:07,admin,\N,\N
7297,351,0,Jelabi,None,100 ps,150,1,-1,-1,-1,,\N,4/28/2021 11:07,admin,\N,\N
7298,351,0,Kadai Paneer,Mild,1 tr,100,1,-1,-1,-1,,\N,4/28/2021 11:07,admin,\N,\N
7299,351,0,Malai Koftha,Mild,2 tr,200,1,-1,1,-1,,\N,4/28/2021 11:07,admin,\N,\N
7300,351,0,Paan,Meidum,100,175,-1,-1,-1,-1,,\N,4/28/2021 11:07,admin,\N,\N
7301,351,0,Potato And Onion Kulcah,None,40,100,-1,1,-1,-1,Assorted Naan,\N,4/28/2021 11:07,admin,\N,\N
7302,351,0,Raitha,Medium,1 tray,100,1,-1,-1,-1,,\N,4/28/2021 11:07,admin,\N,\N
7303,351,0,Veg Hakka Noodles,Mild,1 tr,80,-1,1,-1,-1,,\N,4/28/2021 11:07,admin,\N,\N
13093,522,0,BUTTER NAAN,NONE,30,75,-1,-1,-1,-1,Cut each Naan into 4 pieces please,\N,10/15/2021 0:15,0,\N,\N
13094,522,0,CHILLI GARLIC MUSHROOM,MEDIUM,1/2 Tray,55,-1,-1,-1,-1,,\N,10/15/2021 0:15,0,\N,\N
13095,522,0,CHOLE,MEDIUM,3/4 Tray,80,-1,-1,-1,-1,Jain,\N,10/15/2021 0:15,0,\N,\N
13096,522,0,CUCUMBER RAITHA,MEDIUM,1/2 Tray,20,-1,-1,-1,-1,Jain,\N,10/15/2021 0:15,0,\N,\N
13097,522,0,DAL TAKDKA,MEDIUM,1 Tray,100,-1,-1,-1,-1,Jain,\N,10/15/2021 0:15,0,\N,\N
13098,522,0,GARLIC NAAN,NONE,30,75,-1,-1,-1,-1,Cut each Naan into 4 pieces please,\N,10/15/2021 0:15,0,\N,\N
13099,522,0,GOBI 65,MEDIUM,3/4 Tray,90,-1,-1,-1,-1,Jain,\N,10/15/2021 0:15,0,\N,\N
13100,522,0,KASHMIRI PUALO,MEDIUM,1 Tray,110,-1,-1,-1,-1,Jain,\N,10/15/2021 0:15,0,\N,\N
13101,522,0,MANGO LIME TOFU,MEDIUM,1 Order,14.49,-1,-1,-1,-1,,\N,10/15/2021 0:15,0,\N,\N
13102,522,0,PANEER MAKKANI,MEDIUM,1 Tray,120,-1,-1,-1,-1,Jain,\N,10/15/2021 0:15,0,\N,\N
13103,522,0,PANEER TIKKA,MEDIUM,1/2 Tray,70,-1,-1,-1,-1,,\N,10/15/2021 0:15,0,\N,\N
13104,522,0,RAGI ROTI,NONE,2 order,0,-1,-1,-1,-1,,\N,10/15/2021 0:15,0,\N,\N
13105,522,0,TANDOORI ROTI,NONE,2 order,0,-1,-1,-1,-1,,\N,10/15/2021 0:15,0,\N,\N
13106,522,0,WHITE RICE,NONE,3/4 Tray,0,-1,-1,-1,-1,,\N,10/15/2021 0:15,0,\N,\N
13614,550,0,GOBI PEPPER FRY,MEDIUM,1/2 Tray,55,-1,-1,-1,-1,,\N,10/27/2021 0:39,0,\N,\N
13615,550,0,TANDOORI ROTI,NONE,20,68,-1,-1,-1,-1,,\N,10/27/2021 0:39,0,\N,\N
13616,550,0,PANEER TIKKA MASALA,MEDIUM,1/2 Tray,60,-1,-1,-1,-1,,\N,10/27/2021 0:39,0,\N,\N
13617,550,0,VEG BRIYANI,MEDIUM,1/2 Tray,55,-1,-1,-1,-1,,\N,10/27/2021 0:39,0,\N,\N
13618,550,0,RICE,NONE,1/2 Tray,0,-1,-1,-1,-1,,\N,10/27/2021 0:39,0,\N,\N
13619,550,0,RAITHA,NONE,32 Oz,0,-1,-1,-1,-1,,\N,10/27/2021 0:39,0,\N,\N
13943,552,0,GOBI PEPPER FRY,MILD,10 Trays,1200,1,-1,1,1,,\N,11/5/2021 16:13,0,\N,\N
13944,552,0,KNOCKOUT CHICKEN,MILD,10 Trays,1400,1,-1,1,-1,,\N,11/5/2021 16:13,0,\N,\N
15959,494,0,BHINDI FRY,MED,4 tr,480,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
15960,494,0,CHANNA MASALA,MED,4 tr,400,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
15961,494,0,CHETTINAD GOAT CURRY,MED,3 tr,600,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
15962,494,0,CHICKEN 65,MED,4 tr,560,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
15963,494,0,CHICKEN TIKKA MASALA,MED,5 tr,700,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
15964,494,0,DELIVERY AND SETUP,NA,1,250,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
15965,494,0,DHAI VADA,NA,3 tr,450,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
15966,494,0,GOBI MANCHURIEN,MED,3 tr,330,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
15967,494,0,GULAB JAMUN,NA,500,500,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
15968,494,0,HARIYALI PANEER TIKKA,MED,4 tr,480,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
15969,494,0,JEERA PULAO,MED,5 tr,300,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
15970,494,0,KNOCKOUT SHRIMP FRY,MED,2 tr,500,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
15971,494,0,MANGO LASSI,NA,350 cups,875,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
15972,494,0,NAAN ON SITE,NA,700 nos,2800,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
15973,494,0,PALAK PANEER,MED,4 tr,480,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
15974,494,0,RASMALAI,NA,350 ps,350,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
15975,494,0,VEG CUTLET,MED,350 PS,700,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
15976,494,0,VEG KURMA,MED,4 tr,400,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
15977,494,0,VEG PASTA,NA,3 tr,450,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
15978,494,0,SERVERS,NA,15,1800,-1,-1,-1,-1,,\N,12/17/2021 0:56,0,\N,\N
17527,492,0,ASSORTED NAAN BREAD,NA,150 nos,450,-1,-1,-1,-1,"Garlic ,Mint &amp; Basil, Butter Naan",\N,1/23/2022 16:27,0,\N,\N
17528,492,0,BAR TENDERS,NA,2,400,-1,-1,-1,-1,approximate price,\N,1/23/2022 16:27,0,\N,\N
17529,492,0,BEER AND WINE CORKAGE FEE,NA,150 PPL,450,-1,-1,-1,-1,,\N,1/23/2022 16:27,0,\N,\N
17530,492,0,CUTLERYS,NA,300 PPL,600,-1,-1,-1,-1,,\N,1/23/2022 16:27,0,\N,\N
17531,492,0,DAAL MAKHNI,MED,3 tr,300,-1,-1,-1,-1,,\N,1/23/2022 16:27,0,\N,\N
17532,492,0,DELIVERY AND SETUP,NA,1,250,-1,-1,-1,-1,,\N,1/23/2022 16:27,0,\N,\N
17533,492,0,DINDIGUL VEGETABLE BIRYANI,MED,4 tr,480,-1,-1,-1,-1,,\N,1/23/2022 16:27,0,\N,\N
17534,492,0,DIWANI HANDI,MED,5 tr,550,-1,-1,-1,-1,,\N,1/23/2022 16:27,0,\N,\N
17535,492,0,ENNAI KATHIRIKAI,MED,5 tr,550,-1,-1,-1,-1,,\N,1/23/2022 16:27,0,\N,\N
17536,492,0,GULAB JAMUN,NA,450 ps,450,-1,-1,-1,-1,,\N,1/23/2022 16:27,0,\N,\N
17537,492,0,ICE CREAM,NA,5 bucket,250,-1,-1,-1,-1,,\N,1/23/2022 16:27,0,\N,\N
17538,492,0,MADRAS COFFEE,NA,100 CUPS,200,-1,-1,-1,-1,,\N,1/23/2022 16:27,0,\N,\N
17539,492,0,MASAL TEA,NA,100 CUPS,200,-1,-1,-1,-1,,\N,1/23/2022 16:27,0,\N,\N
17540,492,0,PANEER TIKKA MASALA,MED,5 tr,600,-1,-1,-1,-1,,\N,1/23/2022 16:27,0,\N,\N
17541,492,0,RAITHA,NA,1 1/2 tr,75,-1,-1,-1,-1,,\N,1/23/2022 16:27,0,\N,\N
17542,492,0,SAMOSA CHAT,MED,5 tr,950,-1,-1,-1,-1,,\N,1/23/2022 16:27,0,\N,\N
