"PRODUCT_ID","CATEGORY_NAME","CATEGORY_ID","PRODUCT_NAME","UNIT","PRICE","IS_DAIRY_FREE","IS_GLUTEN_FREE","IS_NUT_FREE","IS_VEGAN","EXCLUDE_ITEM"
"21","APPETIZER - NONVEG","1","Knockout Chicken","18","160.00","0","0","1","0","0"
"22","APPETIZER - NONVEG","1","Chilli Chicken","18","160.00","1","0","1","0","-1"
"23","APPETIZER - NONVEG","1","Chicken 65","18","180.00","0","0","1","0","-1"
"24","APPETIZER - NONVEG","1","Shrimp 65","18","280.00","0","0","1","0","0"
"25","APPETIZER - NONVEG","1","Fish Fry Tilapia","18","240.00","0","0","1","0","-1"
"28","APPETIZER - NONVEG","1","Goat Chukka","18","280.00","1","1","1","0","-1"
"29","APPETIZER - NONVEG","1","Lamb Chukka","18","200.00","0","1","1","0","0"
"30","APPETIZER - NONVEG","1","Chicken Manchurian","18","160.00","0","0","1","0","-1"
"38","APPETIZER - NONVEG","1","Tawa Chicken","18","140.00","0","0","1","0","0"
"151","APPETIZER - NONVEG","1","Chicken Chukka","18","160.00","1","1","0","0","-1"
"166","APPETIZER - NONVEG","1","Tawa Fish Fry","19","3.00","0","0","1","0","0"
"290","APPETIZER - NONVEG","1","Apollo Fish","18","240.00","0","0","1","0","-1"
"311","APPETIZER - NONVEG","1","King Fish Fry","19","7.00","0","1","1","0","0"
"329","APPETIZER - NONVEG","1","Pomfret Fish Fry","19","5.00","0","0","1","0","0"
"330","APPETIZER - NONVEG","1","Chicken Pepper Fry","18","160.00","0","0","1","0","-1"
"362","APPETIZER - NONVEG","1","Chicken Taco","19","6.00","0","0","1","0","0"
"422","APPETIZER - NONVEG","1","Quail 65","19","8.00","0","0","1","0","0"
"442","APPETIZER - NONVEG","1","Fish Cutlet","19","4.00","0","0","0","0","0"
"456","APPETIZER - NONVEG","1","Jeera Chicken Wings","18","160.00","0","0","0","0","0"
"489","APPETIZER - NONVEG","1","KARAMPODI CHICKEN","18","150.00","1","1","1","0","0"
"498","APPETIZER - NONVEG","1","Egg - Plain","19","2.00","0","1","1","0","0"
"502","APPETIZER - NONVEG","1","Live station - Chicken Appetizer","33","12.99","0","0","1","0","0"
"518","APPETIZER - NONVEG","1","Boiled Eggs","19","2.00","0","0","0","0","0"
"543","APPETIZER - NONVEG","1","Curry Leaf Chicken","18","160.00","0","0","0","0","0"
"6","APPETIZER - VEG","1","Medhu Vada","19","2.00","1","1","1","1","0"
"7","APPETIZER - VEG","1","Masala Vada","19","2.00","1","1","1","1","0"
"8","APPETIZER - VEG","1","Potato Varuval Fry","18","140.00","1","0","0","1","0"
"10","APPETIZER - VEG","1","Gobi Manchurian","18","140.00","1","0","1","1","-1"
"11","APPETIZER - VEG","1","Mixed Veg Pakoda","18","140.00","1","1","1","1","0"
"12","APPETIZER - VEG","1","Vegetable Cutlet","19","3.00","0","0","1","0","0"
"13","APPETIZER - VEG","1","Gobi Pepper Fry","18","140.00","0","0","1","0","-1"
"14","APPETIZER - VEG","1","Chilli Paneer","18","140.00","0","0","1","0","-1"
"15","APPETIZER - VEG","1","Cut Mirchi","18","140.00","1","1","1","1","-1"
"16","APPETIZER - VEG","1","Mushroom Pepper Fry","18","140.00","0","0","1","0","0"
"17","APPETIZER - VEG","1","Samosa","19","2.00","0","0","1","0","0"
"18","APPETIZER - VEG","1","Dahi Vada","19","2.50","0","1","1","0","-1"
"20","APPETIZER - VEG","1","Manchurian Balls","18","160.00","0","0","1","0","0"
"56","APPETIZER - VEG","1","Tindora Fry","18","140.00","1","1","0","1","0"
"154","APPETIZER - VEG","1","Chili Baby Corn","18","140.00","1","0","1","1","-1"
"168","APPETIZER - VEG","1","Soya 65","18","140.00","1","0","1","1","0"
"209","APPETIZER - VEG","1","Chili Garlic Mushroom","18","140.00","1","0","1","1","-1"
"231","APPETIZER - VEG","1","Spinach Pakoda","18","140.00","1","1","1","1","0"
"232","APPETIZER - VEG","1","Onion Pakoda","18","140.00","1","1","1","1","0"
"233","APPETIZER - VEG","1","Aloo Chukka","18","140.00","1","1","1","0","0"
"254","APPETIZER - VEG","1","Veg Spring Roll","19","1.50","0","0","1","0","0"
"258","APPETIZER - VEG","1","Soup - Tomato","18","80.00","0","1","1","0","0"
"260","APPETIZER - VEG","1","Veg - Mysore Bonda","19","1.50","0","0","1","0","0"
"264","APPETIZER - VEG","1","Gobi 65","18","140.00","0","0","1","0","-1"
"269","APPETIZER - VEG","1","Vazhakai Fry","18","140.00","1","1","1","1","0"
"310","APPETIZER - VEG","1","Bhindi Fry","18","140.00","1","1","0","1","0"
"331","APPETIZER - VEG","1","Frozen Vegetable Cutlet","19","1.25","0","0","1","0","-1"
"335","APPETIZER - VEG","1","Hara Bhara Kebab","19","1.25","1","0","1","1","-1"
"338","APPETIZER - VEG","1","Mini Samosa","34","0.75","0","0","1","0","-1"
"345","APPETIZER - VEG","1","Veg - Aloo Bonda","18","140.00","1","1","1","1","0"
"348","APPETIZER - VEG","1","Chilli Pakoda","18","140.00","0","0","0","0","0"
"356","APPETIZER - VEG","1","Paneer Chukka","18","150.00","0","1","0","0","0"
"361","APPETIZER - VEG","1","Paneer Taco","19","4.00","0","0","1","0","0"
"367","APPETIZER - VEG","1","Crossiants","19","2.00","0","0","1","0","0"
"368","APPETIZER - VEG","1","Muffins","19","2.00","0","0","0","0","0"
"407","APPETIZER - VEG","1","Alasanda Vada","19","2.00","1","0","1","0","0"
"409","APPETIZER - VEG","1","Plantain Bhaji","19","2.00","1","1","1","1","0"
"410","APPETIZER - VEG","1","Kara Boondi","18","100.00","1","0","0","1","0"
"415","APPETIZER - VEG","1","Yam fry","18","140.00","1","1","0","0","1"
"418","APPETIZER - VEG","1","Dahi Vada (South Indian)","19","3.00","0","0","0","0","0"
"420","APPETIZER - VEG","1","Rajpuri Bhindi","18","130.00","1","0","1","1","0"
"435","APPETIZER - VEG","1","Soya Chaap","18","150.00","0","0","0","0","0"
"440","APPETIZER - VEG","1","Punugulu","19","1.00","1","0","1","1","0"
"441","APPETIZER - VEG","1","Sprouted Moong Chat","18","130.00","0","0","0","0","0"
"444","APPETIZER - VEG","1","Aloo Tikki Chole","18","200.00","0","0","0","0","0"
"445","APPETIZER - VEG","1","Paneer Pakora","18","150.00","0","1","1","0","0"
"446","APPETIZER - VEG","1","Veg Kofta","18","150.00","0","0","0","0","0"
"447","APPETIZER - VEG","1","Bengali Style Veg Chop","18","150.00","0","0","0","1","0"
"471","APPETIZER - VEG","1","Sabudana Tikki","19","2.00","0","0","0","0","0"
"486","APPETIZER - VEG","1","Live Station - GOBI MANCHURIAN","33","11.00","1","0","1","1","0"
"487","APPETIZER - VEG","1","Live Station - PANEER MANCHURIAN","33","13.00","0","0","1","1","0"
"488","APPETIZER - VEG","1","Paneer Manchurian","18","180.00","0","0","1","1","0"
"491","APPETIZER - VEG","1","Dhokla","18","90.00","1","0","1","1","0"
"499","APPETIZER - VEG","1","Live Station - Tandoori Veg Appetizer","33","10.99","0","1","1","1","0"
"501","APPETIZER - VEG","1","live station - Paneer Appetizer","33","12.99","0","0","1","0","0"
"508","APPETIZER - VEG","1","LIVE COUNTER - SAMOSA CHOLE CHAAT","33","6.99","0","1","1","1","0"
"514","APPETIZER - VEG","1","Gobi 555","18","140.00","0","0","0","0","0"
